Αβραμιαῖος	 ＠
ἀγριάνω	＠
αἱρετίς	one who chooses
ἀκαταστατέω	be unstable
ἀκοπιάστως	incontinent, licentious
ἀκριβάζω	be proved accurate; reliable
ἀναντία	＠
ἀνδραγαθαέω	＠
ἀνδρείως	manfully
ἀνδρολογεῖον	
ἀντανακλάω	
ἀντίοχος	
ἀπασπάζομαι	
ἀποπαρθενεύομαι	
ἀποπιέζω	
ἀποσκαρίξω	
ἀποστρεβαλόομαι	＠
ἀποτίκτω	bring to the birth
ἀποτυφλόω	make quite blind
ἀργύρωμα	silver plate
ἀρθρέμβολον	instruments of torture
Ασιδαῖος	
ἀτελεία	
αὐθαιρέτως	
ἀφόμοιος	likened, made like
βαρβαρόω	
βαρυτέρως	
βασανιστήριον	
βοήθημα	
γαυρόω	
γηροβόσκω	
δασέως	
δειλόομαι	
δευτέριον	
διαιτέω	
διακυβερνάω	
διαλιμπάνω	
διαπειράζω	
δύνομαι	
δυσάληκτος	
δωδεκάμηνον	
ἐγκηδεύομαι	
ἐθελοκωφόω	
ἐθνοπλήθης	
ἐκδεκτέον	
ἐκθαυμάζω	
ἐκλογιστή	
ἐκσπονδυλίζω	
ἐκυρεύω	
ἐκχωρίζω	
ἔλαμψαν	
ἐλευστέον	
ἐλέφαντα	
ἐλέφαντας	
ἐλέφαντι	
ἐλεφάντων	
ἑλληνικός	
ἐμπείρω	
ἐμπληθύνομαι	
ἐμπονέω	
ἐναντιόω	
ἐναπερείδω	
ἐνατενίξω	
ἐνεξουσιάζω	
ἐννέμω	
ἐνυποτάσσω	
ἐπαλγής	
ἐπικουφίζομαι	
ἐπιρριπτέω	
ἔπισος	
ἐπιστοποιέω	
ἐπισφάλλω	
Ἐπιφανής	
ἑπτακισχίλιος	
ἐργολάβεια	
ἑρῶ	
ἐστέρημαι	
ἐσχατογήρος	
ἐσχατόγηρως	
εὐθαλέω	
εὔθραστος	
ἐφαδανώ	
ἐφήβος	
ἡγεμονίδης	
ἡμερόομαι	
θαμβέομαι	
θέλης	
θημωνία	
θηριόομαι	
θῖνας	
θρηνηέω	
θυγατράσιν	
ἰσαστέρος	
ἰσοπολῖτις	
ισραηλ	
καθάρσιον	
καθωπλικώς	
καΐἐκεῖνος	
καϊἐμός	
κακοτεχνάομαι	
καλώς	
κατακοπή	
κατανοήσις	
καταπάλτης	
καταράω	
κενοδοξέω	
κρίπτω	
κωθωνίζομαι	
λευκώμασις	
λεχώς	
λιβανόω	
λιθούργος	
μαλακοψυχάζω	
Μαρδοχαϊκός	
μεριδάρχη	
μεσάζω	
μεστόομαι	
μηνιάω	
μνηστεύομαι	
μυέομαι	myth, fanciful
μύλν	＠
μυροβραχής	＠
νομιστέον	hought of 
οἰκετική	
ὀκτακισχιλίος	eight-thousandth
ὀλιγώρησις	
ὁλοκαρπόομαι	
ὁμοέθνος	
ὀργίλως	
ὀροφοιτόω	
πάνδημον	
πανεθνί	
παραθάρσυνω	
πεδέω	
πέλομαι	
περικατάληπτος	
περικλύζω	
περιπλήσσω	
περιχαίρω	
πολιόρκησις	
πολυπληθία	
πολυφροντίς	
προαίρω	
προκακόομαι	
προσανοικοδομέομαι	
προσημειόομαι	
προσκυρόω	
προσυπομιμνήσκω	
προϋποτάσσω	
προϋφίσταμαι	
πρωτοκλίσιον	
πτόη	
πυρίζω	
Ῥάγαι	
Ῥάγη	
Ῥάγοι	
Ῥαφία	
ῥίτωω	
ῥύδη	
σβεστικός	
σκεδιάζω	
σπλαγχνίζω	
σποδόω	
σπόνδυλος	
στενότητα	
στραγγαλάομαι	
στραγγαλόομαι	
στρερέω	
συγγινώσκω	
συγγνωμονέω	
συγκαταγηράω	
συγχωρητέον	
συζηγής	
συνεκτρόφος	
συνήλικος	
σύνολον	
ταλαίπορος	
ταμιεύομαι	
τεθνήκω	
τελωνέομαι	
τηγανίζω	
τροπιά	
ὑπεράγαν	
ὑπερηφανεύομαι	
ὑπερήφονος	
ὑπερρίπτω	
ὑπομάσθιος	
ὕψιστε	
φιλαργυρέω	
φραζών	
φρενόομαι	
φροντιστέον	
φρυάζω	
φυλακίζομαι	
χαριτόομαι	
χελώνις	
χερσόομαι	
χρεοκοπέομαι	
χῶσαι	
ᾠκοδομέω	
ὡραΐζομαι	
