01.Gen.1.mlxx	Gen	1	10	01O
02.Gen.2.mlxx	Gen	1	10	01O
03.Exod.mlxx	Exod	2	20	02O
04.Lev.mlxx	Lev	3	30	03O
05.Num.mlxx	Num	4	40	04O
06.Deut.mlxx	Deut	5	50	05O
07.JoshB.mlxx	JoshB	6	60	06O
08.JoshA.mlxx	JoshA	6	60	06O
09.JudgesB.mlxx	JudgB	7	70	07O
10.JudgesA.mlxx	JudgA	7	70	07O
11.Ruth.mlxx	Ruth	8	80	08O
12.1Sam.mlxx	1Sam	9	90	09O
13.2Sam.mlxx	2Sam	10	100	10O
14.1Kings.mlxx	1Kgs	11	110	11O
15.2Kings.mlxx	2Kgs	12	120	12O
16.1Chron.mlxx	1Chr	13	130	13O
17.2Chron.mlxx	2Chr	14	140	14O
18.1Esdras.mlxx	1Esd	74	165	81A
19.2Esdras.mlxx	2Esd	75(15,16)	(150,160)	82A(15O,16O)
20.Esther.mlxx	Esth	17	190	17O,69A
21.Judith.mlxx	Jdt	68	180	68A
22.TobitBA.mlxx	TobBA	67	170	67A
23.TobitS.mlxx	TobS	67	170	67A
24.1Macc.mlxx	1Macc	72	462	77A
25.2Macc.mlxx	2Macc	73	464	78A
26.3Macc.mlxx	3Macc	76	466	79A
27.4Macc.mlxx	4Macc	77	467	80A
28.Psalms1.mlxx	Ps	19	230	19O
29.Psalms2.mlxx	Ps	19	230	19O,84A
30.Odes.mlxx	Odes	＊	800	86A
31.Proverbs.mlxx	Prov	20	240	20O
32.Qoheleth.mlxx	Eccl	21	250	21O
33.Canticles.mlxx	Song	22	260	22O
34.Job.mlxx	Job	18	220	18O
35.Wisdom.mlxx	Wis	69	270	70A
36.Sirach.mlxx	Sir	70	279,280	71A
37.PsSol.mlxx	PsSol	＊	232	85A
38.Hosea.mlxx	Hos	28	350	28O
39.Micah.mlxx	Mic	33	400	33O
40.Amos.mlxx	Amos	30	370	30O
41.Joel.mlxx	Joel	29	360	29O
42.Jonah.mlxx	Jonah	32	390	32O
43.Obadiah.mlxx	Obad	31	380	31O
44.Nahum.mlxx	Nah	34	410	34O
45.Habakkuk.mlxx	Hab	35	420	35O
46.Zeph.mlxx	Zeph	36	430	36O
47.Haggai.mlxx	Hag	37	440	37O
48.Zech.mlxx	Zech	38	450	38O
49.Malachi.mlxx	Mal	39	460	39O
50.Isaiah1.mlxx	Isa	23	290	23O
51.Isaiah2.mlxx	Isa	23	290	23O
52.Jer1.mlxx	Jer	24	300	24O
53.Jer2.mlxx	Jer	24	300	24O
54.Baruch.mlxx	Bar	71	320	72A
55.EpJer.mlxx	EpJer	＊	315	73A
56.Lam.mlxx	Lam	25	310	25O
57.Ezek1.mlxx	Ezek	26	330	26O
58.Ezek2.mlxx	Ezek	26	330	26O
59.BelOG.mlxx	BelOG	＊	345	76A
60.BelTh.mlxx	BelTh	＊	345	76A
61.DanielOG.mlxx	DanOG	27	340	27O
62.DanielTh.mlxx	DanTh	27	340	27O
63.SusOG.mlxx	SusOG	＊	325	75A
64.SusTh.mlxx	SusTh	＊	325	75A
